nohup: ignoring input
2024-08-31 00:05:38 start
menu {"errcode":0,"errmsg":"ok"}
2024-08-31 00:05:39 200
2024-08-31 00:05:39 200
workbench {"errcode":0,"errmsg":"ok"}
2024-08-31 00:05:40 200
2024-08-31 00:05:40 200
2024-08-31 00:05:42 200
2024-08-31 00:05:42 200
2024-08-31 00:05:45 200
2024-08-31 00:05:45 200
2024-08-31 00:05:47 200
2024-08-31 00:05:47 200
2024-08-31 00:05:49 200
2024-08-31 00:05:49 200
2024-08-31 00:05:52 200
2024-08-31 00:05:52 200
2024-08-31 00:05:54 200
2024-08-31 00:05:54 200
2024-08-31 00:05:57 200
2024-08-31 00:05:57 200
2024-08-31 00:05:59 200
2024-08-31 00:05:59 200
2024-08-31 00:06:01 200
2024-08-31 00:06:02 200
2024-08-31 00:06:04 200
2024-08-31 00:06:04 200
2024-08-31 00:06:06 200
2024-08-31 00:06:06 200
now {"errcode":0,"errmsg":"ok","msgid":"WpLDpQFMGSE843kRbNhgXbjKqbeIayw2nE5IUFo5VInVm_wa9uxv3nmCdUA6O2qAacuc_aKzpJ3PenUMo4HBgQ"}
workbench {"errcode":0,"errmsg":"ok"}
2024-08-31 00:06:10 200
2024-08-31 00:06:10 200
2024-08-31 00:06:12 200
2024-08-31 00:06:12 200
2024-08-31 00:06:15 200
2024-08-31 00:06:15 200
2024-08-31 00:06:17 200
2024-08-31 00:06:17 200
2024-08-31 00:06:19 200
2024-08-31 00:06:19 200
2024-08-31 00:06:22 200
2024-08-31 00:06:22 200
2024-08-31 00:06:24 200
2024-08-31 00:06:24 200
2024-08-31 00:06:27 200
2024-08-31 00:06:27 200
2024-08-31 00:06:29 200
2024-08-31 00:06:29 200
2024-08-31 00:06:31 200
2024-08-31 00:06:31 200
2024-08-31 00:06:34 200
2024-08-31 00:06:34 200
2024-08-31 00:06:36 200
2024-08-31 00:06:36 200
2024-08-31 00:06:39 200
2024-08-31 00:06:39 200
2024-08-31 00:06:41 200
2024-08-31 00:06:41 200
2024-08-31 00:06:43 200
2024-08-31 00:06:43 200
2024-08-31 00:06:46 200
2024-08-31 00:06:46 200
2024-08-31 00:06:48 200
2024-08-31 00:06:48 200
2024-08-31 00:06:51 200
2024-08-31 00:06:51 200
2024-08-31 00:06:53 200
2024-08-31 00:06:53 200
2024-08-31 00:06:56 200
2024-08-31 00:06:56 200
2024-08-31 00:06:58 200
2024-08-31 00:06:58 200
2024-08-31 00:07:00 200
2024-08-31 00:07:00 200
2024-08-31 00:07:03 200
2024-08-31 00:07:03 200
2024-08-31 00:07:05 200
2024-08-31 00:07:05 200
2024-08-31 00:07:08 200
2024-08-31 00:07:08 200
2024-08-31 00:07:10 200
2024-08-31 00:07:10 200
2024-08-31 00:07:12 200
2024-08-31 00:07:12 200
2024-08-31 00:07:15 200
2024-08-31 00:07:15 200
2024-08-31 00:07:17 200
2024-08-31 00:07:17 200
2024-08-31 00:07:20 200
2024-08-31 00:07:20 200
2024-08-31 00:07:22 200
2024-08-31 00:07:22 200
2024-08-31 00:07:24 200
2024-08-31 00:07:24 200
2024-08-31 00:07:27 200
2024-08-31 00:07:27 200
2024-08-31 00:07:29 200
2024-08-31 00:07:29 200
2024-08-31 00:07:32 200
2024-08-31 00:07:32 200
2024-08-31 00:07:34 200
2024-08-31 00:07:34 200
2024-08-31 00:07:36 200
2024-08-31 00:07:36 200
2024-08-31 00:07:39 200
2024-08-31 00:07:39 200
2024-08-31 00:07:41 200
2024-08-31 00:07:41 200
2024-08-31 00:07:44 200
2024-08-31 00:07:44 200
2024-08-31 00:07:46 200
2024-08-31 00:07:46 200
2024-08-31 00:07:48 200
